tconst	averageRating	numVotes
tt0179250	7.4	48
tt0179736	6.9	10
tt0179889	6.1	36
tt0180016	8.4	8
tt0180139	8.0	753
tt0180368	6.2	10
tt0180374	7.4	44
tt0180886	6.1	121
tt0182064	5.6	135
tt0182141	6.4	116
tt0182144	6.1	111
tt0182576	8.1	365740
tt0183071	4.6	83
tt0183331	5.9	27
tt0183405	6.3	87
tt0183891	6.1	40
tt0183919	3.8	6
tt0184372	8.0	67
tt0185037	7.1	1852
tt0186253	6.9	7497
tt0186479	7.0	219
tt0186833	4.4	46
tt0187334	5.6	126
tt0188705	3.6	101
tt0188720	7.1	15
tt0188779	5.6	142
tt0189316	6.9	12
tt0189912	7.4	102
tt0189920	5.2	13
tt0190093	5.3	7
tt0190126	6.4	30
tt0190150	6.2	46
tt0190274	4.7	45
tt0190757	5.6	16
tt0191102	8.2	694
tt0191151	7.5	37
tt0192153	5.0	279
tt0192237	6.7	151
tt0192331	6.2	26
tt0192890	6.4	40
tt0193506	5.8	167
tt0193783	5.5	21
tt0194611	7.8	39
tt0195192	4.4	156
tt0195352	6.1	121
tt0196276	7.0	7
tt0196926	8.4	83
tt0197166	7.4	23
tt0197218	5.6	127
tt0197228	5.8	182
tt0198081	5.5	30
tt0198868	6.9	14
tt0198896	5.9	20
tt0199845	3.4	322
tt0201876	7.0	7
tt0203264	8.4	11
tt0204001	7.1	145
tt0204064	5.8	62
tt0204718	8.1	11
tt0206023	6.2	9
tt0206860	3.6	14
tt0208154	4.8	18
tt0208870	4.0	152
tt0208909	7.6	158
tt0209028	8.4	42
tt0209464	6.2	478
tt0209489	5.5	483
tt0210220	4.8	22
tt0210362	5.9	292
tt0210384	6.1	111
tt0211049	7.6	7
tt0211311	5.1	111
tt0211706	5.6	5
tt0211839	9.0	46
tt0213465	8.3	40
tt0213832	5.2	9
tt0214846	7.1	33
tt0215215	8.8	66
tt0215446	7.1	108
tt0215713	7.6	86
tt0216278	7.3	13
tt0216590	5.7	342
tt0217096	5.2	32
tt0217570	4.2	275
tt0218419	6.1	10
tt0218770	6.5	30
tt0218876	6.9	44
tt0219358	5.6	79
tt0219359	7.5	27
tt0220015	7.9	21
tt0220141	5.7	24
tt0220722	5.4	104
tt0220846	6.6	63
tt0221012	5.8	7
tt0221369	8.5	38
tt0221601	4.2	131
tt0221986	6.6	7
tt0222518	6.3	4265
tt0223310	5.5	107
tt0223830	5.8	5
tt0224397	7.1	11
tt0224946	6.2	8
tt0225297	5.5	26
tt0225529	6.9	10
tt0225573	5.5	904
tt0225877	5.4	16
tt0226312	6.0	7
tt0226693	6.2	711
tt0227450	4.9	60
tt0227527	5.5	368
tt0227567	8.2	12
tt0228685	6.6	361
tt0228808	6.4	245
tt0228938	8.7	28
tt0228955	5.6	29
tt0229079	5.3	33
tt0229128	6.2	8
tt0230344	6.6	5
tt0232644	6.0	7
tt0233270	8.8	468
tt0233728	4.3	130
tt0234759	7.0	41
tt0235631	6.7	46
tt0235937	8.3	12
tt0236447	7.5	473
