tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0117993	movie	Twinkle Twinkle Lucky Star	Yun cai zhi li xing	0	1996	\N	94	Comedy,Fantasy
tt0123058	movie	Enden på legen	Enden på legen	0	1960	\N	\N	Documentary
tt0124704	video	Hard Discipline 2: The Lady's Maid	Hard Discipline 2: The Lady's Maid	0	1995	\N	50	Adventure
tt0124929	movie	Win or Die	Win or Die	0	1997	\N	\N	\N
tt0126040	short	So You Want a Raise	So You Want a Raise	0	1950	\N	10	Comedy,Short
tt0126464	short	Motor Maniacs	Motor Maniacs	0	1946	\N	18	Comedy,Short
tt0126529	movie	Nightlife	Nightlife	1	1982	\N	73	Adult
tt0128475	video	Shame	Shame	1	1994	\N	81	Action,Adult,Adventure
tt0129412	short	Swain	Swain	0	1950	\N	24	Short
tt0132325	short	O Modelo	O Modelo	0	1970	\N	16	Documentary,Short
tt0133788	movie	Galloping Vengeance	Galloping Vengeance	0	1925	\N	50	Western
tt0134199	movie	Mission to Venice	Agent spécial à Venise	0	1964	\N	88	Crime,Thriller
tt0134494	movie	Caught from Behind 2: The Sequel	Caught from Behind 2: The Sequel	1	1983	\N	75	Adult
tt0135187	tvMovie	A Christmas Memory	A Christmas Memory	0	1997	\N	96	Drama,Family
tt0135246	video	The Computer Date	The Computer Date	1	1994	\N	46	Adult
tt0135328	video	Dane Gets It Good	Dane Gets It Good	1	1991	\N	74	Adult
tt0138879	short	To Bear Witness	To Bear Witness	0	1983	\N	42	Documentary,Short
tt0142096	short	Attack of the Hungry Hungry Nipples	Attack of the Hungry Hungry Nipples	0	1997	\N	4	Animation,Short
tt0142413	short	Jimmy's New Yacht	Jimmy's New Yacht	0	1932	\N	18	Comedy,Short
tt0144430	movie	Naughty 90's	Naughty 90's	1	1990	\N	\N	Adult
tt0147330	video	Sandy in the Woods	Sandy in the Woods	1	1993	\N	60	Adult
tt0147848	short	Aquí... España	Aquí... España	0	1967	\N	25	Documentary,Short
tt0148547	short	Off to the Opera	Off to the Opera	0	1952	\N	7	Animation,Short
tt0148775	video	Seymore Butts Swings	Seymore Butts Swings	1	1993	\N	120	Adult
tt0148858	movie	Shy Houseboy	Shy Houseboy	1	1985	\N	60	Adult
