nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0151581	David Chaney	\N	\N	actor,sound_department,miscellaneous	tt1451436,tt3284242,tt3317092,tt0279887
nm0151683	Devin Chang	\N	\N	actress	tt7764386,tt8735406,tt1057953,tt0322699
nm0152505	Robert Chapman	\N	\N	actor	tt0117913,tt0101225
nm0153493	Jacques Charrier	1936	\N	actor,producer,writer	tt0057657,tt0073149,tt0195436,tt0065138
nm0153638	Karel Charvat	1930	2003	actor	tt0123933,tt0059353,tt0173073,tt0396177
nm0154305	Bernard Chauly	1973	\N	director,writer,actor	tt2436328,tt2436408,tt1505380,tt0472462
nm0155483	Sam Chenaur	\N	\N	actor	tt0160744,tt0129157
nm0156085	Jolene Cherry	\N	\N	music_department,producer	tt0109506,tt0112462,tt0117038,tt0092240
nm0158335	Chitra	1965	2021	music_artist,actress,soundtrack	tt0271586,tt0291855,tt0097416,tt0353960
nm0161411	Adrian Churchill	\N	\N	actor	tt15148662,tt2428014,tt0329934,tt0279286
nm0163228	Renay Clair	\N	\N	actress	tt0251264,tt0172268
nm0165481	Elaine Claxton	\N	\N	actress,miscellaneous,soundtrack	tt4686844,tt0337792,tt0068069,tt0408381
nm0165674	Cheli Clayton-Samaras	\N	\N	camera_department,cinematographer,producer	tt0405336,tt0120647,tt1600195,tt10648342
nm0167963	Jesús Cobos	\N	\N	\N	tt0843558
nm0168111	Ada Cochavi	\N	\N	editorial_department	tt0120623,tt0114709
nm0170215	Renaud Colas	\N	\N	art_department,set_decorator,sound_department	tt0098226,tt0090563,tt0095943,tt0107471
nm0170742	Ray Cole	\N	\N	actor	tt0061814,tt0058850
nm0171200	Robin Coleman	\N	\N	actor	tt0082495,tt0085210,tt0081849,tt0086886
nm0171212	Shannon Coleman	\N	\N	actress	tt0211532
nm0171355	Jean Caubet	\N	\N	writer	tt0143023
nm0171663	Sharon Collar	\N	\N	actress	tt0109783,tt0113729,tt0090223,tt0098878
nm0172849	Bob Collona	\N	\N	actor	tt0225660
nm0174906	Robert Conn	\N	\N	actor	tt0109129
nm0176455	Camille Contorno	\N	\N	script_department,actress,sound_department	tt0301290,tt0208037,tt0215135,tt0914800
nm0176608	Luciano Conversi	\N	\N	actor	tt0060164,tt0057217,tt0057216
nm0178416	Tex Cooper	1876	1951	actor,archive_footage	tt0043711,tt0012440,tt0041914,tt0029694
nm0180760	Denise Correa	\N	\N	actress	tt0201612
nm0186054	Jessica Craig-Martin	\N	\N	actress	tt0190157
nm0186822	Jennifer Crawford	\N	\N	costume_designer,set_decorator	tt0165802,tt0344074,tt0826592
nm0187258	Patric A. Creelman	\N	\N	actor	tt0096080,tt0110429,tt0092357,tt0098335
nm0192368	Kendall Cunningham	1985	\N	actor	tt0114709,tt0114108,tt0108724,tt0111419
nm0193648	Harmon Cusack	\N	2021	camera_department,cinematographer,assistant_director	tt0387131,tt0116409,tt1586752,tt0248667
nm0194655	Maria Fernanda Cândido	1974	\N	actress,writer,archive_footage	tt7736478,tt6491190,tt0202765,tt0371642
nm0195572	Alexa D'Avalon	\N	\N	actress	tt0106834
nm0196331	Max Da-Yung Wang	\N	\N	cinematographer,camera_department	tt1079360,tt7946836,tt1274418,tt1667150
nm0197964	Fernanda Dell'Acqua	\N	\N	stunts,actress	tt0076504,tt0069700,tt1242773,tt0062251
nm0198272	Dorothy Dalton	1893	1972	actress,archive_footage	tt0012181,tt0168577,tt0007672,tt0196562
nm0199179	Roger Danchik	\N	\N	art_department,production_designer,special_effects	tt0360009,tt8784956,tt0362478,tt2404463
nm0199518	Michael Dangero	\N	\N	director,writer,producer	tt0212789
