tconst	ordering	nconst	category	job	characters
tt0270869	3	nm0035623	director	\N	\N
tt0274301	14	nm0590113	director	\N	\N
tt0277212	7	nm0054005	director	\N	\N
tt0277281	1	nm0444954	director	\N	\N
tt0279657	12	nm0947998	director	\N	\N
tt0282265	7	nm0937942	director	\N	\N
tt0284679	11	nm0213997	director	\N	\N
tt0287587	11	nm0664908	director	director	\N
tt0288616	11	nm0401081	director	\N	\N
tt0290415	11	nm0858235	director	\N	\N
tt0292972	11	nm0622051	director	director	\N
tt0294630	1	nm0159914	director	\N	\N
tt0295451	4	nm1045936	director	\N	\N
tt0298594	11	nm1067880	director	\N	\N
tt0300215	4	nm0757989	director	\N	\N
tt0300305	9	nm0001000	director	\N	\N
tt0300593	5	nm1076199	director	\N	\N
tt0301371	5	nm1012358	director	\N	\N
tt0301780	11	nm0837479	director	\N	\N
tt0301948	2	nm0201570	director	\N	\N
tt0302971	11	nm1088736	director	\N	\N
tt0305686	11	nm0996406	director	\N	\N
tt0305748	6	nm0360253	director	\N	\N
tt0307385	7	nm0726123	director	\N	\N
tt0310932	6	nm0203472	director	\N	\N
tt0311157	10	nm0166357	director	\N	\N
tt0311417	10	nm0905667	director	\N	\N
tt0311702	8	nm0001000	director	\N	\N
tt0312597	6	nm0466056	director	\N	\N
tt0318344	11	nm1171460	director	\N	\N
tt0318858	1	nm1171806	director	\N	\N
tt0321078	1	nm1188666	director	\N	\N
tt0322174	8	nm0522004	director	\N	\N
tt0323452	6	nm0137407	director	director	\N
tt0324360	12	nm0195958	director	\N	\N
tt0327028	11	nm1119422	director	\N	\N
tt0327781	8	nm0018732	director	\N	\N
tt0331683	4	nm0526265	director	\N	\N
tt0334061	1	nm1252580	director	\N	\N
tt0334096	8	nm1250921	director	\N	\N
tt0334204	5	nm0042128	director	\N	\N
tt0334427	4	nm0665737	director	\N	\N
tt0335064	1	nm1258809	director	\N	\N
tt0336214	2	nm0350279	director	\N	\N
tt0337353	11	nm0622350	director	\N	\N
tt0341583	4	nm1269012	director	director	\N
tt0341629	8	nm0324465	director	\N	\N
tt0343048	14	nm0561360	director	\N	\N
tt0343821	1	nm1286929	director	\N	\N
tt0344458	8	nm0301252	director	\N	\N
tt0344795	1	nm0460351	director	\N	\N
tt0344916	11	nm0645584	director	\N	\N
tt0345216	9	nm0346639	director	\N	\N
tt0347660	11	nm0876493	director	\N	\N
